home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year
Germany,Brazil,0,,,2,,,Rudi Völler,,Luiz Felipe Scolari,,,Ronaldo · 67|Ronaldo · 79,69029,"Nissan Stadium, Yokohama",,2002-06-30,0–2,,,Final,"Korea Republic, Japan",2002
Korea Republic,Turkey,2,,,3,,,Guus Hiddink,,Şenol Güneş,,Lee Eul-yong · 9|Song Chong-gug · 90+3,Hakan Şükür · 1|İlhan Mansız · 13|İlhan Mansız · 32,63483,"Daegu Main Stadium, Daegu",,2002-06-29,2–3,,,Third-place match,"Korea Republic, Japan",2002
Brazil,Turkey,1,,,0,,,Luiz Felipe Scolari,,Şenol Güneş,,Ronaldo · 49,,61058,"Saitama Stadium 2002, Saitama",,2002-06-26,1–0,,,Semi-finals,"Korea Republic, Japan",2002
Germany,Korea Republic,1,,,0,,,Rudi Völler,,Guus Hiddink,,Michael Ballack · 75,,65625,"Seoul World Cup Stadium, Seoul",,2002-06-25,1–0,,,Semi-finals,"Korea Republic, Japan",2002
Spain,Korea Republic,0,,3.0,0,,5.0,José Antonio Camacho,,Guus Hiddink,,,,42114,"Guus Hiddink Stadium, Gwangju",,2002-06-22,(3) 0–0 (5),,Korea Republic won on penalty kicks following extra time,Quarter-finals,"Korea Republic, Japan",2002
Senegal,Turkey,0,,,1,,,Bruno Metsu,,Şenol Güneş,,,İlhan Mansız · 94,44233,"Yanmar Stadium Nagai, Osaka",,2002-06-22,0–1,,Required Extra Time,Quarter-finals,"Korea Republic, Japan",2002
England,Brazil,1,,,2,,,Sven-Göran Eriksson,,Luiz Felipe Scolari,,Michael Owen · 23,Rivaldo · 45+2|Ronaldinho · 50|Ronaldinho · 57,47436,"Daejeon World Cup Stadium, Daejeon",,2002-06-21,1–2,,,Quarter-finals,"Korea Republic, Japan",2002
Germany,United States,1,,,0,,,Rudi Völler,,Bruce Arena,,Michael Ballack · 39,,37337,"Munsu Cup Stadium, Ulsan",,2002-06-21,1–0,,,Quarter-finals,"Korea Republic, Japan",2002
Japan,Turkey,0,,,1,,,Philippe Troussier,,Şenol Güneş,,,Ümit Davala · 12,45666,"Miyagi Stadium, Rifu",,2002-06-18,0–1,,,Round of 16,"Korea Republic, Japan",2002
Korea Republic,Italy,2,,,1,,,Guus Hiddink,,Giovanni Trapattoni,,Seol Ki-hyeon · 88|Ahn Jung-hwan · 117,Christian Vieri · 18|Francesco Totti · 103,38588,"Daejeon World Cup Stadium, Daejeon",,2002-06-18,2–1,,Required Extra Time,Round of 16,"Korea Republic, Japan",2002
Mexico,United States,0,,,2,,,Javier Aguirre,,Bruce Arena,,Rafael Márquez · 88,Brian McBride · 8|Landon Donovan · 65,36380,"Jeonju World Cup Stadium, Jeonju",,2002-06-17,0–2,,,Round of 16,"Korea Republic, Japan",2002
Brazil,Belgium,2,,,0,,,Luiz Felipe Scolari,,Robert Waseige,,Rivaldo · 67|Ronaldo · 87,,40440,"NOEVIR Stadium Kobe, Kobe",,2002-06-17,2–0,,,Round of 16,"Korea Republic, Japan",2002
Sweden,Senegal,1,,,2,,,Lars Lagerbäck,,Bruno Metsu,,Henrik Larsson · 11,Henri Camara · 37|Henri Camara · 104,39747,"Ōita Bank Dome, Ōita",,2002-06-16,1–2,,Required Extra Time,Round of 16,"Korea Republic, Japan",2002
Spain,Republic of Ireland,1,,3.0,1,,2.0,José Antonio Camacho,,Mick McCarthy,,Fernando Morientes · 8,Robbie Keane (P) · 90,38926,"Suwon World Cup Stadium, Suwon",,2002-06-16,(3) 1–1 (2),,Spain won on penalty kicks following extra time,Round of 16,"Korea Republic, Japan",2002
Germany,Paraguay,1,,,0,,,Rudi Völler,,Cesare Maldini,,Oliver Neuville · 88,Roberto Acuña · 90+2,25176,"Jeju World Cup Stadium, Jeju",,2002-06-15,1–0,,,Round of 16,"Korea Republic, Japan",2002
Denmark,England,0,,,3,,,Morten Olsen,,Sven-Göran Eriksson,,,Rio Ferdinand · 5|Michael Owen · 22|Emile Heskey · 44,40582,"Denka Big Swan Stadium, Niigata",,2002-06-15,0–3,,,Round of 16,"Korea Republic, Japan",2002
Tunisia,Japan,0,,,2,,,Ammar Souayah,,Philippe Troussier,,,Hiroaki Morishima · 48|Hidetoshi Nakata · 75,45213,"Yanmar Stadium Nagai, Osaka",,2002-06-14,0–2,,,Group stage,"Korea Republic, Japan",2002
Belgium,Russia,3,,,2,,,Robert Waseige,,Oleg Romantsev,,Johan Walem · 7|Wesley Sonck · 78|Marc Wilmots · 82,Vladimir Beschastnykh · 52|Dmitri Sychev · 88,46640,"Shizuoka Stadium Ecopa, Fukuroi",,2002-06-14,3–2,,,Group stage,"Korea Republic, Japan",2002
Portugal,Korea Republic,0,,,1,,,António Luís Alves Ribeiro Oliveira,,Guus Hiddink,,João Pinto · 27|Beto · 66,Park Ji-sung · 70,50239,"Incheon Munhak Stadium, Incheon",,2002-06-14,0–1,,,Group stage,"Korea Republic, Japan",2002
Poland,United States,3,,,1,,,Jerzy Engel,,Bruce Arena,,Emmanuel Olisadebe · 3|Paweł Kryszałowicz · 5|Marcin Żewłakow · 66,Landon Donovan · 83,26482,"Daejeon World Cup Stadium, Daejeon",,2002-06-14,3–1,,,Group stage,"Korea Republic, Japan",2002
Costa Rica,Brazil,2,,,5,,,Alexandre Guimarães,,Luiz Felipe Scolari,,Paulo Wanchope · 39|Rónald Gómez · 56,Ronaldo · 10|Ronaldo · 13|Edmílson · 38|Rivaldo · 62|Júnior · 64,38524,"Suwon World Cup Stadium, Suwon",,2002-06-13,2–5,,,Group stage,"Korea Republic, Japan",2002
Turkey,China PR,3,,,0,,,Şenol Güneş,,Bora Milutinović,,Hasan Şaş · 6|Bülent Korkmaz · 9|Ümit Davala · 85,Shao Jiayi · 58,43605,"Seoul World Cup Stadium, Seoul",,2002-06-13,3–0,,,Group stage,"Korea Republic, Japan",2002
Mexico,Italy,1,,,1,,,Javier Aguirre,,Giovanni Trapattoni,,Jared Borgetti · 34,Alessandro Del Piero · 85,39291,"Ōita Bank Dome, Ōita",,2002-06-13,1–1,,,Group stage,"Korea Republic, Japan",2002
Ecuador,Croatia,1,,,0,,,Hernán Darío Gómez,,Mirko Jozić,,Édison Méndez · 48,,65862,"Nissan Stadium, Yokohama",,2002-06-13,1–0,,,Group stage,"Korea Republic, Japan",2002
Sweden,Argentina,1,,,1,,,Lars Lagerbäck,,Marcelo Bielsa,,Anders Svensson · 59,Hernán Crespo · 88,45777,"Miyagi Stadium, Rifu",,2002-06-12,1–1,,,Group stage,"Korea Republic, Japan",2002
Nigeria,England,0,,,0,,,Festus Onigbinde,,Sven-Göran Eriksson,,,,44864,"Yanmar Stadium Nagai, Osaka",,2002-06-12,0–0,,,Group stage,"Korea Republic, Japan",2002
South Africa,Spain,2,,,3,,,Jomo Sono,,José Antonio Camacho,,Benni McCarthy · 31|Lucas Radebe · 53,Raúl · 4|Gaizka Mendieta · 45+1|Raúl · 56,31024,"Daejeon World Cup Stadium, Daejeon",,2002-06-12,2–3,,,Group stage,"Korea Republic, Japan",2002
Slovenia,Paraguay,1,,,3,,,Srečko Katanec,,Cesare Maldini,,Milenko Ačimovič · 45+1|Nastja Čeh · 81,Carlos Paredes · 22|Nelson Cuevas · 65|Jorge Luis Campos · 73|Nelson Cuevas · 84,30176,"Jeju World Cup Stadium, Jeju",,2002-06-12,1–3,,,Group stage,"Korea Republic, Japan",2002
Denmark,France,2,,,0,,,Morten Olsen,,Roger Lemerre,,Dennis Rommedahl · 22|Jon Dahl Tomasson · 67,,48100,"Incheon Munhak Stadium, Incheon",,2002-06-11,2–0,,,Group stage,"Korea Republic, Japan",2002
Senegal,Uruguay,3,,,3,,,Bruno Metsu,,Víctor Púa,,Khalilou Fadiga · 20|Papa Bouba Diop · 26|Papa Bouba Diop · 38,Richard Morales · 46|Diego Forlán · 69|Álvaro Recoba (P) · 88,33681,"Suwon World Cup Stadium, Suwon",,2002-06-11,3–3,,,Group stage,"Korea Republic, Japan",2002
Saudi Arabia,Republic of Ireland,0,,,3,,,Nasser Al-Johar,,Mick McCarthy,,,Robbie Keane · 7|Gary Breen · 61|Damien Duff · 87,65320,"Nissan Stadium, Yokohama",,2002-06-11,0–3,,,Group stage,"Korea Republic, Japan",2002
Cameroon,Germany,0,,,2,,,Winfried Schäfer,,Rudi Völler,,Patrick Suffo · 77,Carsten Ramelow · 40|Marco Bode · 50|Miroslav Klose · 79,47085,"Shizuoka Stadium Ecopa, Fukuroi",,2002-06-11,0–2,,,Group stage,"Korea Republic, Japan",2002
Korea Republic,United States,1,,,1,,,Guus Hiddink,,Bruce Arena,,Ahn Jung-hwan · 78,Clint Mathis · 24,60778,"Daegu Main Stadium, Daegu",,2002-06-10,1–1,,,Group stage,"Korea Republic, Japan",2002
Tunisia,Belgium,1,,,1,,,Ammar Souayah,,Robert Waseige,,Raouf Bouzaiene · 17,Marc Wilmots · 13,39700,"Ōita Bank Dome, Ōita",,2002-06-10,1–1,,,Group stage,"Korea Republic, Japan",2002
Portugal,Poland,4,,,0,,,António Luís Alves Ribeiro Oliveira,,Jerzy Engel,,Pauleta · 14|Pauleta · 65|Pauleta · 77|Rui Costa · 88,,31000,"Jeonju World Cup Stadium, Jeonju",,2002-06-10,4–0,,,Group stage,"Korea Republic, Japan",2002
Mexico,Ecuador,2,,,1,,,Javier Aguirre,,Hernán Darío Gómez,,Jared Borgetti · 28|Gerardo Torrado · 57,Agustín Delgado · 5,45610,"Sapporo Dome, Sapporo",,2002-06-09,2–1,,,Group stage,"Korea Republic, Japan",2002
Costa Rica,Turkey,1,,,1,,,Alexandre Guimarães,,Şenol Güneş,,Winston Parks · 86,Emre Belözoğlu · 56,42299,"Incheon Munhak Stadium, Incheon",,2002-06-09,1–1,,,Group stage,"Korea Republic, Japan",2002
Japan,Russia,1,,,0,,,Philippe Troussier,,Oleg Romantsev,,Junichi Inamoto · 51,,66108,"Nissan Stadium, Yokohama",,2002-06-09,1–0,,,Group stage,"Korea Republic, Japan",2002
South Africa,Slovenia,1,,,0,,,Jomo Sono,,Srečko Katanec,,Siyabonga Nomvethe · 4,,47226,"Daegu Main Stadium, Daegu",,2002-06-08,1–0,,,Group stage,"Korea Republic, Japan",2002
Italy,Croatia,1,,,2,,,Giovanni Trapattoni,,Mirko Jozić,,Christian Vieri · 55,Ivica Olić · 73|Milan Rapaić · 76,36472,"Kashima Soccer Stadium, Kashima",,2002-06-08,1–2,,,Group stage,"Korea Republic, Japan",2002
Brazil,China PR,4,,,0,,,Luiz Felipe Scolari,,Bora Milutinović,,Roberto Carlos · 15|Rivaldo · 32|Ronaldinho (P) · 45|Ronaldo · 55,,36750,"Jeju World Cup Stadium, Jeju",,2002-06-08,4–0,,,Group stage,"Korea Republic, Japan",2002
Sweden,Nigeria,2,,,1,,,Tommy Söderberg,,Festus Onigbinde,,Henrik Larsson · 35|Henrik Larsson (P) · 63,Julius Aghahowa · 27,36194,"NOEVIR Stadium Kobe, Kobe",,2002-06-07,2–1,,,Group stage,"Korea Republic, Japan",2002
Spain,Paraguay,3,,,1,,,José Antonio Camacho,,Cesare Maldini,,Fernando Morientes · 53|Fernando Morientes · 69|Fernando Hierro (P) · 83,Carles Puyol (OG) · 10,24000,"Jeonju World Cup Stadium, Jeonju",,2002-06-07,3–1,,,Group stage,"Korea Republic, Japan",2002
Argentina,England,0,,,1,,,Marcelo Bielsa,,Sven-Göran Eriksson,,,David Beckham (P) · 44,35927,"Sapporo Dome, Sapporo",,2002-06-07,0–1,,,Group stage,"Korea Republic, Japan",2002
Denmark,Senegal,1,,,1,,,Morten Olsen,,Bruno Metsu,,Jon Dahl Tomasson (P) · 16,Salif Diao · 52|Salif Diao · 80,43500,"Daegu Main Stadium, Daegu",,2002-06-06,1–1,,,Group stage,"Korea Republic, Japan",2002
Cameroon,Saudi Arabia,1,,,0,,,Winfried Schäfer,,Nasser Al-Johar,,Samuel Eto'o · 66,,52328,"Saitama Stadium 2002, Saitama",,2002-06-06,1–0,,,Group stage,"Korea Republic, Japan",2002
France,Uruguay,0,,,0,,,Roger Lemerre,,Víctor Púa,,Thierry Henry · 25,,38070,"Busan Sport Complex Asiad Stadium, Busan",,2002-06-06,0–0,,,Group stage,"Korea Republic, Japan",2002
Russia,Tunisia,2,,,0,,,Oleg Romantsev,,Ammar Souayah,,Yegor Titov · 59|Valeri Karpin (P) · 64,,30957,"NOEVIR Stadium Kobe, Kobe",,2002-06-05,2–0,,,Group stage,"Korea Republic, Japan",2002
United States,Portugal,3,,,2,,,Bruce Arena,,António Luís Alves Ribeiro Oliveira,,John O'Brien · 4|Jorge Costa (OG) · 29|Brian McBride · 36,Beto · 39|Jeff Agoos (OG) · 71,37306,"Suwon World Cup Stadium, Suwon",,2002-06-05,3–2,,,Group stage,"Korea Republic, Japan",2002
Germany,Republic of Ireland,1,,,1,,,Rudi Völler,,Mick McCarthy,,Miroslav Klose · 19,Robbie Keane · 90+2,35854,"Kashima Soccer Stadium, Kashima",,2002-06-05,1–1,,,Group stage,"Korea Republic, Japan",2002
China PR,Costa Rica,0,,,2,,,Bora Milutinović,,Alexandre Guimarães,,,Rónald Gómez · 61|Mauricio Wright · 65,27217,"Guus Hiddink Stadium, Gwangju",,2002-06-04,0–2,,,Group stage,"Korea Republic, Japan",2002
Japan,Belgium,2,,,2,,,Philippe Troussier,,Robert Waseige,,Takayuki Suzuki · 59|Junichi Inamoto · 67,Marc Wilmots · 57|Peter Van der Heyden · 75,55256,"Saitama Stadium 2002, Saitama",,2002-06-04,2–2,,,Group stage,"Korea Republic, Japan",2002
Korea Republic,Poland,2,,,0,,,Guus Hiddink,,Jerzy Engel,,Hwang Sun-hong · 26|Yoo Sang-chul · 53,,48760,"Busan Sport Complex Asiad Stadium, Busan",,2002-06-04,2–0,,,Group stage,"Korea Republic, Japan",2002
Croatia,Mexico,0,,,1,,,Mirko Jozić,,Javier Aguirre,,Boris Živković · 59,Cuauhtémoc Blanco (P) · 60,32239,"Denka Big Swan Stadium, Niigata",,2002-06-03,0–1,,,Group stage,"Korea Republic, Japan",2002
Brazil,Turkey,2,,,1,,,Luiz Felipe Scolari,,Şenol Güneş,,Ronaldo · 50|Rivaldo (P) · 87,Hasan Şaş · 45+2|Alpay Özalan · 86|Hakan Ünsal · 90+4,33842,"Munsu Cup Stadium, Ulsan",,2002-06-03,2–1,,,Group stage,"Korea Republic, Japan",2002
Italy,Ecuador,2,,,0,,,Giovanni Trapattoni,,Hernán Darío Gómez,,Christian Vieri · 7|Christian Vieri · 27,,31081,"Sapporo Dome, Sapporo",,2002-06-03,2–0,,,Group stage,"Korea Republic, Japan",2002
Argentina,Nigeria,1,,,0,,,Marcelo Bielsa,,Festus Onigbinde,,Gabriel Batistuta · 63,,34050,"Kashima Soccer Stadium, Kashima",,2002-06-02,1–0,,,Group stage,"Korea Republic, Japan",2002
Paraguay,South Africa,2,,,2,,,Cesare Maldini,,Jomo Sono,,Roque Santa Cruz · 39|Francisco Arce · 55,Teboho Mokoena · 63|Quinton Fortune (P) · 90+1,25186,"Busan Sport Complex Asiad Stadium, Busan",,2002-06-02,2–2,,,Group stage,"Korea Republic, Japan",2002
England,Sweden,1,,,1,,,Sven-Göran Eriksson,,Tommy Söderberg,,Sol Campbell · 24,Niclas Alexandersson · 59,52721,"Saitama Stadium 2002, Saitama",,2002-06-02,1–1,,,Group stage,"Korea Republic, Japan",2002
Spain,Slovenia,3,,,1,,,José Antonio Camacho,,Srečko Katanec,,Raúl · 44|Juan Carlos Valerón · 74|Fernando Hierro (P) · 87,Sebastjan Cimirotič · 82,28588,"Guus Hiddink Stadium, Gwangju",,2002-06-02,3–1,,,Group stage,"Korea Republic, Japan",2002
Republic of Ireland,Cameroon,1,,,1,,,Mick McCarthy,,Winfried Schäfer,,Matt Holland · 52,Patrick M'Boma · 39,33679,"Denka Big Swan Stadium, Niigata",,2002-06-01,1–1,,,Group stage,"Korea Republic, Japan",2002
Uruguay,Denmark,1,,,2,,,Víctor Púa,,Morten Olsen,,Darío Rodríguez · 47,Jon Dahl Tomasson · 45|Jon Dahl Tomasson · 83,30157,"Munsu Cup Stadium, Ulsan",,2002-06-01,1–2,,,Group stage,"Korea Republic, Japan",2002
Germany,Saudi Arabia,8,,,0,,,Rudi Völler,,Nasser Al-Johar,,Miroslav Klose · 20|Miroslav Klose · 25|Michael Ballack · 40|Carsten Jancker · 45+1|Miroslav Klose · 70|Thomas Linke · 72|Oliver Bierhoff · 84|Bernd Schneider · 90+2,,32218,"Sapporo Dome, Sapporo",,2002-06-01,8–0,,,Group stage,"Korea Republic, Japan",2002
France,Senegal,0,,,1,,,Roger Lemerre,,Bruno Metsu,,,Pape Malick Diop · 30,62561,"Seoul World Cup Stadium, Seoul",,2002-05-31,0–1,,,Group stage,"Korea Republic, Japan",2002
Brazil,France,0,,,3,,,Mário Zagallo,,Aimé Jacquet,,,Zinédine Zidane · 27|Zinédine Zidane · 45|Marcel Desailly · 68|Emmanuel Petit · 90,80000,"Stade de France, Paris",,1998-07-12,0–3,,,Final,France,1998
Netherlands,Croatia,1,,,2,,,Guus Hiddink,,Miroslav Blažević,,Boudewijn Zenden · 21,Robert Prosinečki · 13|Davor Šuker · 35,44000,"Parc des Princes, Paris",,1998-07-11,1–2,,,Third-place match,France,1998
France,Croatia,2,,,1,,,Aimé Jacquet,,Miroslav Blažević,,Lilian Thuram · 47|Lilian Thuram · 70|Laurent Blanc · 76,Davor Šuker · 46,80000,"Stade de France, Paris",,1998-07-08,2–1,,,Semi-finals,France,1998
Brazil,Netherlands,1,,4.0,1,,2.0,Mário Zagallo,,Guus Hiddink,,Ronaldo · 46,Patrick Kluivert · 87,60000,"Orange Vélodrome, Marseille",,1998-07-07,(4) 1–1 (2),,Brazil won on penalty kicks following extra time,Semi-finals,France,1998
Netherlands,Argentina,2,,,1,,,Guus Hiddink,,Daniel Passarella,,Patrick Kluivert · 12|Arthur Numan · 76|Dennis Bergkamp · 89,Claudio López · 17|Ariel Ortega · 87,60000,"Orange Vélodrome, Marseille",,1998-07-04,2–1,,,Quarter-finals,France,1998
Germany,Croatia,0,,,3,,,Berti Vogts,,Miroslav Blažević,,Christian Wörns · 40,Robert Jarni · 45|Goran Vlaović · 80|Davor Šuker · 85,43300,"Matmut Stadium de Gerland, Lyon",,1998-07-04,0–3,,,Quarter-finals,France,1998
Italy,France,0,,3.0,0,,4.0,Cesare Maldini,,Aimé Jacquet,,,,80000,"Stade de France, Paris",,1998-07-03,(3) 0–0 (4),,France won on penalty kicks following extra time,Quarter-finals,France,1998
Brazil,Denmark,3,,,2,,,Mário Zagallo,,Bo Johansson,,Bebeto · 10|Rivaldo · 27|Rivaldo · 60,Martin Jørgensen · 2|Brian Laudrup · 50,49500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",,1998-07-03,3–2,,,Quarter-finals,France,1998
Romania,Croatia,0,,,1,,,Anghel Iordănescu,,Miroslav Blažević,,,Davor Šuker (P) · 45,31800,"Stade Jacques Chaban-Delmas, Bordeaux",,1998-06-30,0–1,,,Round of 16,France,1998
Argentina,England,2,,4.0,2,,3.0,Daniel Passarella,,Glenn Hoddle,,Gabriel Batistuta (P) · 5|Javier Zanetti · 45,Alan Shearer (P) · 9|Michael Owen · 16|David Beckham · 47,30600,"Stade Geoffroy-Guichard, Saint-Étienne",,1998-06-30,(4) 2–2 (3),,Argentina won on penalty kicks following extra time,Round of 16,France,1998
Germany,Mexico,2,,,1,,,Berti Vogts,,Manuel Lapuente,,Jürgen Klinsmann · 75|Oliver Bierhoff · 86,Luis Hernández · 47,29800,"Stade de la Mosson, Montpellier",,1998-06-29,2–1,,,Round of 16,France,1998
Netherlands,FR Yugoslavia,2,,,1,,,Guus Hiddink,,Slobodan Santrač,,Dennis Bergkamp · 38|Edgar Davids · 90,Slobodan Komljenović · 48,33000,"Stadium Municipal, Toulouse",,1998-06-29,2–1,,,Round of 16,France,1998
France,Paraguay,1,,,0,,,Aimé Jacquet,,Paulo César Carpegiani,,Laurent Blanc · 114,,31800,"Stade Bollaert-Delelis, Lens",,1998-06-28,1–0,,Required Extra Time,Round of 16,France,1998
Nigeria,Denmark,1,,,4,,,Bora Milutinović,,Bo Johansson,,Tijani Babangida · 77,Peter Møller · 3|Brian Laudrup · 12|Ebbe Sand · 60|Thomas Helveg · 76,77000,"Stade de France, Paris",,1998-06-28,1–4,,,Round of 16,France,1998
Italy,Norway,1,,,0,,,Cesare Maldini,,Egil Olsen,,Christian Vieri · 18,,55000,"Orange Vélodrome, Marseille",,1998-06-27,1–0,,,Round of 16,France,1998
Brazil,Chile,4,,,1,,,Mário Zagallo,,Nelson Acosta,,César Sampaio · 11|César Sampaio · 26|Ronaldo (P) · 45|Ronaldo · 70,Marcelo Salas · 68,45500,"Parc des Princes, Paris",,1998-06-27,4–1,,,Round of 16,France,1998
Argentina,Croatia,1,,,0,,,Daniel Passarella,,Miroslav Blažević,,Mauricio Pineda · 36,,31800,"Stade Jacques Chaban-Delmas, Bordeaux",,1998-06-26,1–0,,,Group stage,France,1998
Japan,Jamaica,1,,,2,,,Takeshi Okada,,René Simões,,Masashi Nakayama · 74,Theodore Whitmore · 39|Theodore Whitmore · 54,39100,"Matmut Stadium de Gerland, Lyon",,1998-06-26,1–2,,,Group stage,France,1998
Romania,Tunisia,1,,,1,,,Anghel Iordănescu,,Ali Selmi,,Viorel Moldovan · 72,Skander Souayah (P) · 10,80000,"Stade de France, Paris",,1998-06-26,1–1,,,Group stage,France,1998
Colombia,England,0,,,2,,,Hernán Darío Gómez,,Glenn Hoddle,,,Darren Anderton · 20|David Beckham · 29,42000,"Stade Bollaert-Delelis, Lens",,1998-06-26,0–2,,,Group stage,France,1998
Netherlands,Mexico,2,,,2,,,Guus Hiddink,,Manuel Lapuente,,Phillip Cocu · 4|Ronald de Boer · 18,Ricardo Peláez · 75|Ramón Ramírez · 89|Claudio Suárez · 90,30600,"Stade Geoffroy-Guichard, Saint-Étienne",,1998-06-25,2–2,,,Group stage,France,1998
Belgium,Korea Republic,1,,,1,,,Georges Leekens,,Kim Pyung-seok,,Luc Nilis · 7,Yoo Sang-chul · 71,45500,"Parc des Princes, Paris",,1998-06-25,1–1,,,Group stage,France,1998
United States,FR Yugoslavia,0,,,1,,,Steve Sampson,,Slobodan Santrač,,,Slobodan Komljenović · 4,38500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",,1998-06-25,0–1,,,Group stage,France,1998
Germany,IR Iran,2,,,0,,,Berti Vogts,,Jalal Talebi,,Oliver Bierhoff · 50|Jürgen Klinsmann · 58,,35500,"Stade de la Mosson, Montpellier",,1998-06-25,2–0,,,Group stage,France,1998
South Africa,Saudi Arabia,2,,,2,,,Philippe Troussier,,Mohammed Al-Kharashy,,Shaun Bartlett · 18|Shaun Bartlett (P) · 90,Sami Al-Jaber (P) · 45|Yousuf Al-Thunayan (P) · 74,31800,"Stade Jacques Chaban-Delmas, Bordeaux",,1998-06-24,2–2,,,Group stage,France,1998
France,Denmark,2,,,1,,,Aimé Jacquet,,Bo Johansson,,Youri Djorkaeff (P) · 12|Emmanuel Petit · 57,Michael Laudrup (P) · 42,39100,"Matmut Stadium de Gerland, Lyon",,1998-06-24,2–1,,,Group stage,France,1998
Spain,Bulgaria,6,,,1,,,Javier Clemente,,Hristo Bonev,,Fernando Hierro (P) · 6|Luis Enrique · 18|Fernando Morientes · 55|Fernando Morientes · 81|Georgi Bachev (OG) · 88|Kiko · 90,Emil Kostadinov · 58,41275,"Stade Bollaert-Delelis, Lens",,1998-06-24,6–1,,,Group stage,France,1998
Nigeria,Paraguay,1,,,3,,,Bora Milutinović,,Paulo César Carpegiani,,Wilson Oruma · 11,Celso Ayala · 1|Miguel Ángel Benítez · 59|José Cardozo · 86,33400,"Stadium Municipal, Toulouse",,1998-06-24,1–3,,,Group stage,France,1998
Italy,Austria,2,,,1,,,Cesare Maldini,,Herbert Prohaska,,Christian Vieri · 49|Roberto Baggio · 90,Andreas Herzog (P) · 90,80000,"Stade de France, Paris",,1998-06-23,2–1,,,Group stage,France,1998
Chile,Cameroon,1,,,1,,,Nelson Acosta,,Claude Le Roy,,José Luis Sierra · 20,Rigobert Song · 51|Patrick M'Boma · 56|Lauren · 88,39500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",,1998-06-23,1–1,,,Group stage,France,1998
Brazil,Norway,1,,,2,,,Mário Zagallo,,Egil Olsen,,Bebeto · 78,Tore André Flo · 83|Kjetil Rekdal (P) · 89,57000,"Orange Vélodrome, Marseille",,1998-06-23,1–2,,,Group stage,France,1998
Scotland,Morocco,0,,,3,,,Craig Brown,,Henri Michel,,Craig Burley · 53,Salaheddine Bassir · 23|Abdeljalil Hadda · 47|Salaheddine Bassir · 85,36000,"Stade Geoffroy-Guichard, Saint-Étienne",,1998-06-23,0–3,,,Group stage,France,1998
Colombia,Tunisia,1,,,0,,,Hernán Darío Gómez,,Henryk Kasperczak,,Léider Preciado · 83,,35500,"Stade de la Mosson, Montpellier",,1998-06-22,1–0,,,Group stage,France,1998
Romania,England,2,,,1,,,Anghel Iordănescu,,Glenn Hoddle,,Viorel Moldovan · 47|Dan Petrescu · 90,Michael Owen · 83,33140,"Stadium Municipal, Toulouse",,1998-06-22,2–1,,,Group stage,France,1998
Germany,FR Yugoslavia,2,,,2,,,Berti Vogts,,Slobodan Santrač,,Siniša Mihajlović (OG) · 72|Oliver Bierhoff · 80,Predrag Mijatović · 13|Dragan Stojković · 54,41275,"Stade Bollaert-Delelis, Lens",,1998-06-21,2–2,,,Group stage,France,1998
Argentina,Jamaica,5,,,0,,,Daniel Passarella,,René Simões,,Ariel Ortega · 32|Ariel Ortega · 55|Gabriel Batistuta · 72|Gabriel Batistuta · 79|Gabriel Batistuta (P) · 83,Darryl Powell · 45,45500,"Parc des Princes, Paris",,1998-06-21,5–0,,,Group stage,France,1998
United States,IR Iran,1,,,2,,,Steve Sampson,,Jalal Talebi,,Brian McBride · 87,Hamid Estili · 40|Mehdi Mahdavikia · 84,43300,"Matmut Stadium de Gerland, Lyon",,1998-06-21,1–2,,,Group stage,France,1998
Japan,Croatia,0,,,1,,,Takeshi Okada,,Miroslav Blažević,,,Davor Šuker · 77,35500,"Stade de la Beaujoire - Louis Fonteneau, Nantes",,1998-06-20,0–1,,,Group stage,France,1998
Belgium,Mexico,2,,,2,,,Georges Leekens,,Manuel Lapuente,,Marc Wilmots · 43|Marc Wilmots · 47|Gert Verheyen · 54,Pável Pardo · 28|Alberto García Aspe (P) · 55|Carlos Blanco · 62,31800,"Stade Jacques Chaban-Delmas, Bordeaux",,1998-06-20,2–2,,,Group stage,France,1998
Netherlands,Korea Republic,5,,,0,,,Guus Hiddink,,Cha Bum-kun,,Phillip Cocu · 38|Marc Overmars · 42|Dennis Bergkamp · 71|Pierre van Hooijdonk · 80|Ronald de Boer · 83,,55000,"Orange Vélodrome, Marseille",,1998-06-20,5–0,,,Group stage,France,1998
Nigeria,Bulgaria,1,,,0,,,Bora Milutinović,,Hristo Bonev,,Victor Ikpeba · 26,,48000,"Parc des Princes, Paris",,1998-06-19,1–0,,,Group stage,France,1998
Spain,Paraguay,0,,,0,,,Javier Clemente,,Paulo César Carpegiani,,,,36000,"Stade Geoffroy-Guichard, Saint-Étienne",,1998-06-19,0–0,,,Group stage,France,1998
South Africa,Denmark,1,,,1,,,Philippe Troussier,,Bo Johansson,,Benni McCarthy · 52|Alfred Phiri · 68,Allan Nielsen · 13|Miklos Molnar · 66|Morten Wieghorst · 85,33500,"Stadium Municipal, Toulouse",,1998-06-18,1–1,,,Group stage,France,1998
